date,platform,hits,pushes,mult,stake,pnl,bankroll
2024-12-01,underdog,0,1,0.0,100.0,-100.0,9900.0
2024-12-01,underdog,3,1,0.0,100.0,-100.0,9800.0
2024-12-01,underdog,3,0,0.0,100.0,-100.0,9700.0
2024-12-08,underdog,4,0,0.25,100.0,-75.0,9625.0
2024-12-08,underdog,1,0,0.0,100.0,-100.0,9525.0
2024-12-08,underdog,3,0,0.0,100.0,-100.0,9425.0
2024-12-14,underdog,1,0,0.0,100.0,-100.0,9325.0
2024-12-14,underdog,3,0,0.0,100.0,-100.0,9225.0
2024-12-14,underdog,2,0,0.0,100.0,-100.0,9125.0
2024-12-15,underdog,3,1,0.0,100.0,-100.0,9025.0
2024-12-15,underdog,2,0,0.0,100.0,-100.0,8925.0
2024-12-15,underdog,5,1,2.6,100.0,160.0,9085.0
2024-12-21,underdog,2,0,0.0,100.0,-100.0,8885.0
2024-12-21,underdog,2,0,0.0,100.0,-100.0,8985.0
2024-12-22,underdog,4,1,0.25,100.0,-75.0,8810.0
2024-12-22,underdog,1,0,0.0,100.0,-100.0,8710.0
2024-12-22,underdog,4,0,0.25,100.0,-75.0,8635.0
2024-12-25,underdog,2,0,0.0,100.0,-100.0,8535.0
2024-12-25,underdog,4,0,0.25,100.0,-75.0,8460.0
2024-12-25,underdog,5,0,2.6,100.0,160.0,8620.0
2024-12-29,underdog,3,0,0.0,100.0,-100.0,8520.0
2024-12-29,underdog,3,0,0.0,100.0,-100.0,8420.0
2024-12-29,underdog,4,0,0.25,100.0,-75.0,8345.0
2024-12-31,underdog,4,0,0.25,100.0,-75.0,8270.0
2024-12-31,underdog,5,0,2.6,100.0,160.0,8430.0
2024-12-31,underdog,4,0,0.25,100.0,-75.0,8355.0
