date,platform,event_id,entry_id,leg_idx,pair_id,player,stat,dir,line,actual,result
2025-01-05,prizepicks,f5fee2b969c5801e0050c4bec55b8f77,1,1,1,Jaylen Brown,AST,OVER,4.0,3.0,MISS
2025-01-05,prizepicks,f5fee2b969c5801e0050c4bec55b8f77,1,2,1,Jayson Tatum,AST,OVER,5.0,1.0,MISS
2025-01-05,prizepicks,f5fee2b969c5801e0050c4bec55b8f77,1,3,2,Cason Wallace,AST,OVER,2.5,2.0,MISS
2025-01-05,prizepicks,f5fee2b969c5801e0050c4bec55b8f77,1,4,2,Jalen Williams,REB,OVER,5.5,6.0,HIT
2025-01-05,prizepicks,f5fee2b969c5801e0050c4bec55b8f77,1,5,3,Isaiah Joe,PTS,UNDER,7.5,6.0,HIT
2025-01-05,prizepicks,f5fee2b969c5801e0050c4bec55b8f77,1,6,3,Isaiah Hartenstein,PTS,UNDER,12.0,8.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,2,1,1,Isaiah Joe,AST,OVER,1.5,2.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,2,2,1,Cason Wallace,PTS,OVER,8.5,14.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,2,3,2,Corey Kispert,PTS,OVER,9.5,17.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,2,4,2,Jonas Valanciunas,PTS,OVER,9.5,11.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,2,5,3,Jalen Williams,AST,OVER,5.5,2.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,2,6,3,Luguentz Dort,AST,OVER,1.5,1.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,3,1,1,Luguentz Dort,AST,OVER,1.5,1.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,3,2,1,Cason Wallace,PRA,OVER,15.0,21.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,3,3,2,Corey Kispert,PRA,OVER,15.0,17.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,3,4,2,Jonas Valanciunas,PTS,OVER,9.5,11.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,3,5,3,Jalen Williams,AST,OVER,5.5,2.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,3,6,3,Isaiah Hartenstein,PTS,OVER,12.0,10.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,4,1,1,Isaiah Joe,AST,OVER,1.5,2.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,4,2,1,Cason Wallace,PRA,OVER,15.0,21.0,HIT
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,4,3,2,Isaiah Hartenstein,PRA,OVER,27.5,24.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,4,4,2,Luguentz Dort,AST,OVER,1.5,1.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,4,5,3,Corey Kispert,PRA,UNDER,15.0,17.0,MISS
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,4,6,3,Alex Sarr,PRA,UNDER,20.5,16.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,5,1,1,Nikola Jokic,PTS,OVER,26.5,20.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,5,2,1,Michael Porter Jr.,PTS,OVER,15.5,15.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,5,3,2,Peyton Watson,REB,OVER,3.5,2.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,5,4,2,Russell Westbrook,REB,OVER,5.0,5.0,PUSH
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,5,5,3,Jonathan Isaac,PRA,OVER,14.0,17.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,5,6,3,Anthony Black,PRA,OVER,17.0,20.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,6,1,1,Nikola Jokic,PTS,OVER,26.5,20.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,6,2,1,Michael Porter Jr.,PRA,OVER,22.0,21.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,6,3,2,Jonathan Isaac,PTS,OVER,7.0,10.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,6,4,2,Anthony Black,PRA,OVER,17.0,20.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,6,5,3,Peyton Watson,REB,UNDER,3.5,2.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,6,6,3,Christian Braun,PRA,UNDER,15.5,33.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,7,1,1,Nikola Jokic,PRA,OVER,48.0,44.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,7,2,1,Christian Braun,PTS,OVER,10.0,20.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,7,3,2,Michael Porter Jr.,PTS,UNDER,15.5,15.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,7,4,2,Russell Westbrook,PTS,UNDER,12.5,12.0,HIT
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,7,5,3,Jonathan Isaac,REB,UNDER,5.5,6.0,MISS
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,7,6,3,Wendell Carter Jr.,REB,UNDER,8.5,13.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,8,1,1,Jrue Holiday,AST,OVER,3.5,1.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,8,2,1,Kristaps Porzingis,REB,OVER,7.5,7.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,8,3,2,Jaylen Brown,REB,OVER,5.5,4.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,8,4,2,Derrick White,PTS,OVER,14.0,8.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,8,5,3,Buddy Hield,PTS,OVER,11.0,6.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,8,6,3,Dennis Schroder,PTS,OVER,13.0,7.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,9,1,1,Derrick White,REB,OVER,3.5,5.0,HIT
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,9,2,1,Al Horford,REB,OVER,5.0,4.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,9,3,2,Jrue Holiday,AST,OVER,3.5,1.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,9,4,2,Kristaps Porzingis,PRA,OVER,28.0,27.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,9,5,3,Buddy Hield,PTS,OVER,11.0,6.0,MISS
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,9,6,3,Dennis Schroder,PRA,OVER,21.0,8.0,MISS
2025-01-20,prizepicks,648497f8f49bde0d229d66eb1e3c27d3,10,1,1,Tim Hardaway Jr.,PRA,OVER,15.5,13.0,MISS
2025-01-20,prizepicks,648497f8f49bde0d229d66eb1e3c27d3,10,2,1,Jalen Duren,PRA,OVER,20.5,33.0,HIT
2025-01-20,prizepicks,648497f8f49bde0d229d66eb1e3c27d3,10,3,2,Malik Beasley,PRA,OVER,17.5,18.0,HIT
2025-01-20,prizepicks,648497f8f49bde0d229d66eb1e3c27d3,10,4,2,Ausar Thompson,PTS,OVER,8.5,11.0,HIT
2025-01-20,prizepicks,648497f8f49bde0d229d66eb1e3c27d3,10,5,3,Cade Cunningham,REB,OVER,5.5,9.0,HIT
2025-01-20,prizepicks,648497f8f49bde0d229d66eb1e3c27d3,10,6,3,Tobias Harris,PRA,OVER,21.0,11.0,MISS
2025-01-23,prizepicks,59065cde52a9e2b367362915f8e2298a,11,1,1,Andrew Nembhard,AST,OVER,4.5,8.0,HIT
2025-01-23,prizepicks,59065cde52a9e2b367362915f8e2298a,11,2,1,Tyrese Haliburton,PTS,OVER,17.5,13.0,MISS
2025-01-23,prizepicks,59065cde52a9e2b367362915f8e2298a,11,3,2,Pascal Siakam,PTS,UNDER,20.5,18.0,HIT
2025-01-23,prizepicks,59065cde52a9e2b367362915f8e2298a,11,4,2,Tj Mcconnell,PTS,UNDER,8.0,4.0,HIT
2025-01-23,prizepicks,59065cde52a9e2b367362915f8e2298a,11,5,3,Ben Sheppard,PTS,UNDER,5.0,2.0,HIT
2025-01-23,prizepicks,59065cde52a9e2b367362915f8e2298a,11,6,3,Bennedict Mathurin,PTS,UNDER,15.0,24.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,12,1,1,Tyrese Haliburton,PRA,OVER,30.5,35.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,12,2,1,Obi Toppin,REB,OVER,3.5,5.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,12,3,2,Bennedict Mathurin,REB,OVER,4.5,3.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,12,4,2,Ben Sheppard,PTS,OVER,4.5,0.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,12,5,3,Chris Paul,PTS,UNDER,8.5,11.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,12,6,3,Harrison Barnes,PTS,UNDER,10.5,25.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,13,1,1,Tyrese Haliburton,PTS,OVER,17.5,28.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,13,2,1,Obi Toppin,REB,OVER,3.5,5.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,13,3,2,Pascal Siakam,PTS,UNDER,19.5,23.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,13,4,2,Tj Mcconnell,PTS,UNDER,8.0,12.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,13,5,3,Harrison Barnes,PTS,UNDER,10.5,25.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,13,6,3,Julian Champagnie,PTS,UNDER,6.5,3.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,14,1,1,Tyrese Haliburton,AST,OVER,8.5,4.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,14,2,1,Obi Toppin,REB,OVER,3.5,5.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,14,3,2,Victor Wembanyama,PRA,UNDER,44.5,34.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,14,4,2,Keldon Johnson,PTS,UNDER,10.5,4.0,HIT
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,14,5,3,Harrison Barnes,PTS,UNDER,10.5,25.0,MISS
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,14,6,3,Julian Champagnie,PRA,UNDER,10.5,3.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,15,1,1,Deni Avdija,PRA,OVER,25.0,44.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,15,2,1,Scoot Henderson,AST,OVER,4.5,1.0,MISS
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,15,3,2,Jalen Williams,PRA,OVER,31.0,36.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,15,4,2,Isaiah Hartenstein,PRA,OVER,25.5,32.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,15,5,3,Anfernee Simons,REB,OVER,3.0,2.0,MISS
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,15,6,3,Toumani Camara,AST,OVER,1.5,4.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,16,1,1,Deni Avdija,PTS,OVER,15.0,28.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,16,2,1,Scoot Henderson,AST,OVER,4.5,1.0,MISS
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,16,3,2,Jalen Williams,PTS,OVER,21.0,24.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,16,4,2,Isaiah Hartenstein,REB,OVER,11.0,12.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,16,5,3,Anfernee Simons,AST,OVER,4.0,3.0,MISS
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,16,6,3,Shaedon Sharpe,PRA,OVER,20.0,12.0,MISS
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,17,1,1,Cason Wallace,AST,OVER,2.5,3.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,17,2,1,Jalen Williams,REB,OVER,5.0,4.0,MISS
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,17,3,2,Isaiah Hartenstein,PRA,OVER,25.5,32.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,17,4,2,Isaiah Joe,REB,OVER,2.5,4.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,17,5,3,Deni Avdija,PRA,OVER,25.0,44.0,HIT
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,17,6,3,Scoot Henderson,PRA,OVER,18.5,31.0,HIT
