date,platform,event_id,entry_id,leg_idx,pair_id,player,stat,dir,line,actual,result
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,1,1,1,Shai Gilgeous Alexander,PRA,UNDER,44.5,38.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,1,2,1,Jalen Williams,PRA,UNDER,32.5,25.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,1,3,2,Kenrich Williams,PRA,UNDER,12.5,15.0,MISS
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,1,4,2,Cason Wallace,PRA,UNDER,15.5,21.0,MISS
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,1,5,3,Isaiah Joe,PRA,UNDER,15.5,11.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,1,6,3,Isaiah Hartenstein,PRA,UNDER,27.5,24.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,2,1,1,Shai Gilgeous Alexander,PTS,UNDER,32.5,27.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,2,2,1,Jalen Williams,PTS,UNDER,21.5,17.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,2,3,2,Isaiah Joe,PTS,UNDER,10.5,7.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,2,4,2,Isaiah Hartenstein,PRA,UNDER,27.5,24.0,HIT
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,2,5,3,Jonas Valanciunas,PTS,UNDER,9.5,11.0,MISS
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,2,6,3,Alex Sarr,PRA,UNDER,20.5,16.0,HIT
2025-01-12,underdog,e1bcff9bf41c7fede8e3f8eb12b0270c,3,1,1,Spencer Dinwiddie,PRA,OVER,24.5,30.0,HIT
2025-01-12,underdog,e1bcff9bf41c7fede8e3f8eb12b0270c,3,2,1,Pj Washington,PTS,OVER,17.5,8.0,MISS
2025-01-12,underdog,e1bcff9bf41c7fede8e3f8eb12b0270c,3,3,2,Russell Westbrook,AST,OVER,5.5,7.0,HIT
2025-01-12,underdog,e1bcff9bf41c7fede8e3f8eb12b0270c,3,4,2,Christian Braun,PRA,OVER,15.5,12.0,MISS
2025-01-12,underdog,e1bcff9bf41c7fede8e3f8eb12b0270c,3,5,3,Michael Porter Jr.,PRA,UNDER,24.5,18.0,HIT
2025-01-12,underdog,e1bcff9bf41c7fede8e3f8eb12b0270c,3,6,3,Julian Strawther,PTS,UNDER,8.5,5.0,HIT
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,4,1,1,Mikal Bridges,PRA,OVER,23.5,31.0,HIT
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,4,2,1,Precious Achiuwa,PRA,OVER,13.5,9.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,4,3,2,Josh Hart,AST,OVER,5.5,5.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,4,4,2,Karl Anthony Towns,PTS,OVER,24.5,13.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,4,5,3,Jalen Brunson,PRA,UNDER,38.5,41.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,4,6,3,Og Anunoby,PRA,UNDER,21.5,19.0,HIT
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,5,1,1,Josh Hart,AST,OVER,5.5,5.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,5,2,1,Karl Anthony Towns,PRA,OVER,42.5,29.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,5,3,2,Mikal Bridges,PTS,OVER,17.5,26.0,HIT
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,5,4,2,Precious Achiuwa,PRA,OVER,13.5,9.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,5,5,3,Jalen Brunson,PTS,UNDER,26.5,34.0,MISS
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,5,6,3,Miles Mcbride,PRA,UNDER,11.5,15.0,MISS
2025-01-25,underdog,240a84b2dddf3a224173e70c23b1d624,6,1,1,Nikola Jokic,PTS,OVER,27.5,20.0,MISS
2025-01-25,underdog,240a84b2dddf3a224173e70c23b1d624,6,2,1,Michael Porter Jr.,PRA,OVER,22.0,13.0,MISS
2025-01-25,underdog,240a84b2dddf3a224173e70c23b1d624,6,3,2,Peyton Watson,PRA,OVER,11.5,8.0,MISS
2025-01-25,underdog,240a84b2dddf3a224173e70c23b1d624,6,4,2,Russell Westbrook,PRA,OVER,23.5,23.0,MISS
2025-01-25,underdog,240a84b2dddf3a224173e70c23b1d624,6,5,3,Naz Reid,PTS,UNDER,14.5,13.0,HIT
2025-01-25,underdog,240a84b2dddf3a224173e70c23b1d624,6,6,3,Nickeil Alexander Walker,PTS,UNDER,7.5,10.0,MISS
