Date,Home Team,Away Team,Points,Rebounds,Assists
2024-12-01,Charlotte Hornets,Atlanta Hawks,N,N,N
2024-12-01,Detroit Pistons,Philadelphia 76ers,Y,Y,Y
2024-12-07,Philadelphia 76ers,Orlando Magic,Y,Y,Y
2024-12-07,Atlanta Hawks,Los Angeles Lakers,Y,Y,Y
2024-12-08,Washington Wizards,Denver Nuggets,Y,Y,Y
2024-12-08,New Orleans Pelicans,Oklahoma City Thunder,Y,Y,Y
2024-12-14,Cleveland Cavaliers,Washington Wizards,Y,Y,Y
2024-12-14,Philadelphia 76ers,Indiana Pacers,Y,Y,Y
2024-12-15,Milwaukee Bucks,Atlanta Hawks,N,N,N
2024-12-15,Oklahoma City Thunder,Houston Rockets,Y,Y,Y
2024-12-21,Philadelphia 76ers,Charlotte Hornets,Y,Y,Y
2024-12-21,Cleveland Cavaliers,Milwaukee Bucks,Y,Y,Y
2024-12-22,Sacramento Kings,Los Angeles Lakers,N,N,N
2024-12-22,Orlando Magic,Miami Heat,Y,Y,Y
2024-12-25,New York Knicks,San Antonio Spurs,Y,Y,Y
2024-12-25,Dallas Mavericks,Minnesota Timberwolves,Y,Y,Y
2024-12-28,Orlando Magic,New York Knicks,Y,Y,Y
2024-12-28,Boston Celtics,Indiana Pacers,Y,Y,Y
2024-12-29,Charlotte Hornets,Oklahoma City Thunder,N,N,N
2024-12-29,Washington Wizards,New York Knicks,Y,Y,Y
